"Year","Industry","A","L","E","NI","CFO","Lagged.Assets","Rev","Lagged.Rev","Rec","Lagged.Rec","PPE","TA","X.Rev","X.Rec","X..Revit....Recit.","TA_scaled","inv_Asset.x","rev_rec.x","ppe_scaled.x","BZ","Gwth","Lev","TANG","Years.of.Est","Age","SIG","AudFee","Audit.Firm.Tenure","AudTenure","AudRotation","(Intercept)","inv_Asset.y","rev_rec.y","ppe_scaled.y","NDA","DA.x","ADA.x","DA.y","ADA.y"
2013,"FCMB",131482189,160668,131321521,6027752,-1490927,890313606,130995,111789,450533,357799,26812,4536825,19206,92734,-73528,0.00509576060550511,1.12319972789453e-09,-8.25866295926292e-05,3.01152311043082e-05,11.6243684448804,0.171805812736495,0.00122197539622648,0.0236606866828054,31,3.43398720448515,0.9486,20.7315119144042,4,1.38629436111989,0,0.00654352434021305,-2719470.99667867,3.15701008527995,65.1957090345257,0.00654353206769158,-0.00144777146218647,0.00144777146218647,-0.00144777146218647,0.00144777146218647
2014,"FCMB",131573290,792674,130777616,5396968,7880607,131482189,148637,130995,617978,450533,28392,-2483639,17642,167445,-149803,-0.0188895470853471,7.60559287615755e-09,-0.00113934062962703,0.000215937992939865,11.7829144335159,0.134676896064735,0.00602458143290329,0.0210020612239573,32,3.46573590279973,0.9486,20.8797265186637,5,1.6094379124341,0,0.00654352434021305,-2719470.99667867,3.15701008527995,65.1957090345257,0.00654486906650022,-0.0254344161518473,0.0254344161518473,-0.0254344161518473,0.0254344161518473
2015,"FCMB",129378261,1028268,128349993,2523055,5312976,131573290,152508,148637,592957,617978,29971,-2789921,3871,-25021,-21150,-0.0212043113005687,7.60032678365039e-09,-0.000160746911474206,0.000227789394032786,11.9092623708515,0.0260433135760275,0.00794776488764214,0.0203119466244929,33,3.49650756146648,0.9486,20.8712841889991,6,1.79175946922805,1,0.00654352434021305,-2719470.99667867,3.15701008527995,65.1957090345257,0.00654360206779069,-0.0277479133683594,0.0277479133683594,-0.0277479133683594,0.0277479133683594
2016,"FCMB",131366185,1266203,130099982,3730260,1502130,129378261,176352,152508,659937,592957,32283,2228130,23844,66980,-43136,0.0172218267796937,7.72927377652726e-09,-0.00033340995362428,0.00024952414532763,11.9349723326701,0.156345896608702,0.00963872856625927,0.0212179524260661,34,3.52636052461616,0.9486,20.8826411969029,7,1.94591014905531,1,0.00654352434021305,-2719470.99667867,3.15701008527995,65.1957090345257,0.00654369776470939,0.0106781290149843,0.0106781290149843,0.0106781290149843,0.0106781290149843
2017,"FCMB",131636805,1992208,129644597,1524886,2825839,131366185,169881,176352,649797,659937,33402,-1300953,-6471,-10140,-16611,-0.00990325630602731,7.61230905807305e-09,-0.000126448065763651,0.000254266347157756,12.080237276683,-0.0366936581382689,0.0151341260523605,0.0186444238257644,35,3.55534806148941,0.9486,20.8940031842926,8,2.07944154167984,1,0.00654352434021305,-2719470.99667867,3.15701008527995,65.1957090345257,0.00654360498070174,-0.016446861286729,0.016446861286729,-0.016446861286729,0.016446861286729
2018,"FCMB",132792066,1685983,131106083,3552392,-1262734,131636805,177249,169881,633035,649797,37282,2289658,7368,-16762,-9394,0.0173937524539584,7.59665961202872e-09,-7.13630203953978e-05,0.000283218663655655,12.042853470918,0.0433715365461706,0.0126964136547134,0.0168552232133565,36,3.58351893845611,0.9486,21.081847577193,9,2.19722457733622,1,0.00654352434021305,-2719470.99667867,3.15701008527995,65.1957090345257,0.00654360964570523,0.0108501428082532,0.0108501428082532,0.0108501428082532,0.0108501428082532
2019,"FCMB",134019820,2080359,131939461,3601460,2606461,132792066,181249.93,177248,715881,633035,43697,994999,4001.92999999999,82846,-78844.07,0.00749291000563241,7.53057038814352e-09,-0.000593740818822715,0.000329063334250707,12.0853051608328,0.0225781391045315,0.0155227711841428,0.0164349508899998,37,3.61091791264422,0.9486,21.2351943293292,10,2.30258509299405,1,0.00654352434021305,-2719470.99667867,3.15701008527995,65.1957090345257,0.00654398515105099,0.000948924854581425,0.000948924854581425,0.000948924854581425,0.000948924854581425
2020,"FCMB",134719755,2492400,132227355,3060273,2215658,134019820,198371,181249.93,822772,715881,16322,844615,17121.07,106891,-89769.93,0.00630216485889923,7.46158292109331e-09,-0.000669825776515742,0.000121787956438085,12.1076321865099,0.094461112343602,0.0185006274692231,0.0182056140330515,38,3.63758615972639,0.9486,21.4451916572478,1,0,0,0.00654352434021305,-2719470.99667867,3.15701008527995,65.1957090345257,0.00654398783909032,-0.000241822980191094,0.000241822980191094,-0.000241822980191094,0.000241822980191094
2021,"FCMB",141899520,7556691,134342829,5088698,-4142957,134719755,212012,198371,1063589,822772,47085,945741,13641,240817,-227176,0.00702006175708975,7.42281634939137e-09,-0.00168628572698933,0.000349503307811093,12.1978942937943,0.0687650916716657,0.0532538165033962,0.014830743235686,39,3.66356164612965,0.9486,21.6368319123129,2,0.693147180559945,0,0.00654352434021305,-2719470.99667867,3.15701008527995,65.1957090345257,0.00654649005232832,0.000473571704761422,0.000473571704761422,0.000473571704761422,0.000473571704761422
2022,"FCMB",146678047,9031572,137646475,7264188,5975272,141899520,282982,212012,1195627,1063589,50968,1288916,70970,132038,-61068,0.00908330063413886,7.04724018798654e-09,-0.000430360863799962,0.000359183737901298,12.2643981558258,0.334745203101711,0.0615741222679356,0.012985015292129,40,3.68887945411394,0.9486,21.8162129611639,3,1.09861228866811,0,0.00654352434021305,-2719470.99667867,3.15701008527995,65.1957090345257,0.00654383856364376,0.0025394620704951,0.0025394620704951,0.0025394620704951,0.0025394620704951
2013,"Fidelity Bank",1081217000,917762000,163455000,7721000,15048000,914360000,126918,119137,506951,443500,470,-7327000,7781,63451,-55670,-0.00801325517301719,1.09366114003237e-09,-6.08841156656022e-05,5.14020735815215e-07,11.6880293704057,0.0653113642277378,0.848823131711765,0.0346553929507213,25,3.2188758248682,0.954,20.8013530955134,3,1.09861228866811,0,-0.101695369624802,60984569.1304334,-428.587652490142,-884.506478398907,-0.101695365917663,0.0936821107446455,0.0936821107446455,0.0936821107446455,0.0936821107446455
2014,"Fidelity Bank",1187025000,1013914000,173111000,13796000,53565000,1081217000,136094,126918,610421,506951,37958,-39769000,9176,103470,-94294,-0.0367817006206895,9.24883718994429e-10,-8.72109853988607e-05,3.51067362055906e-05,11.7512964876152,0.0722986495217385,0.854163981382027,0.0319774225479666,26,3.25809653802148,16.8504,20.8947160138517,4,1.38629436111989,0,-0.101695369624802,60984569.1304334,-428.587652490142,-884.506478398907,-0.101695360786564,0.0649136601658741,0.0649136601658741,0.0649136601658741,0.0649136601658741
2015,"Fidelity Bank",1231722000,1048206000,183516000,13904000,107132000,1187025000,146948,136094,658145,610421,39985,-93228000,10854,47724,-36870,-0.0785392051557465,8.42442240053916e-10,-3.10608453907879e-05,3.36850529685558e-05,11.8211011024363,0.0797536996487722,0.851008587976832,0.0324626823260444,27,3.29583686600433,0.954,20.9316790272444,5,1.6094379124341,1,-0.101695369624802,60984569.1304334,-428.587652490142,-884.506478398907,-0.101695367525344,0.0231561623695971,0.0231561623695971,0.0231561623695971,0.0231561623695971
2016,"Fidelity Bank",1298141000,1112739000,185402000,9734000,-56907000,1231722000,152021,146948,767601,658145,40356,-47173000,5073,109456,-104383,-0.0382984147396896,8.11871509967347e-10,-8.47455838249215e-05,3.27638866562422e-05,11.897834061683,0.0345224160927675,0.857178842668092,0.0310875320939713,28,3.3322045101752,0.954,20.9841990779881,6,1.79175946922805,1,-0.101695369624802,60984569.1304334,-428.587652490142,-884.506478398907,-0.101695361369516,0.0633969466298266,0.0633969466298266,0.0633969466298266,0.0633969466298266
2017,"Fidelity Bank",1379214000,1175899000,203315000,18857000,-38026000,1298141000,179896,152021,821024,767601,38504,-19169000,27875,53423,-25548,-0.0147665007114019,7.7033234448338e-10,-1.96804507368614e-05,2.96608765919881e-05,11.9317739481802,0.183362824872879,0.852586328155022,0.0279173500268994,29,3.36729582998647,0.954,21.0447796086343,7,1.94591014905531,1,-0.101695369624802,60984569.1304334,-428.587652490142,-884.506478398907,-0.101695368357715,0.0869288676463128,0.0869288676463128,0.0869288676463128,0.0869288676463128
2018,"Fidelity Bank",1719883000,1525467000,194416000,22926000,175265000,1379214000,189005,180244,961513,821024,36909,-152339000,8761,140489,-131728,-0.110453490176289,7.25050644787538e-10,-9.55094713365729e-05,2.67608942484633e-05,12.1020667674919,0.0486063336366259,0.886959752494792,0.0214601807215956,30,3.40119738166216,0.954,21.2655221022023,8,2.07944154167984,0,-0.101695369624802,60984569.1304334,-428.587652490142,-884.506478398907,-0.101695359786598,-0.00875813038969091,0.00875813038969091,-0.00875813038969091,0.00875813038969091
2019,"Fidelity Bank",2114037000,1880007000,234030000,28425000,-26051000,1719883000,218011,189005,1276843,961513,38392,2374000,29006,315330,-286324,0.00138032645243892,5.81434899932147e-10,-0.000166478766288172,2.2322448678195e-05,12.1495287487183,0.1534668395016,0.889297112586014,0.0181605146929784,31,3.43398720448515,0.954,21.4718652266065,9,2.19722457733622,0,-0.101695369624802,60984569.1304334,-428.587652490142,-884.506478398907,-0.101695341411331,0.10307566786377,0.10307566786377,0.10307566786377,0.10307566786377
2020,"Fidelity Bank",2758148000,2484615000,273533000,26650000,242619000,2114037000,206204,218011,1326106,1276843,38446,-215969000,-11807,49263,-61070,-0.102159517548652,4.73028617758346e-10,-2.88878576865022e-05,1.81860582383374e-05,12.2923007992138,-0.0541578177247937,0.900827294256871,0.0139390634585236,32,3.46573590279973,0.954,21.7378252769517,10,2.30258509299405,0,-0.101695369624802,60984569.1304334,-428.587652490142,-884.506478398907,-0.101695368459561,-0.000464149089090732,0.000464149089090732,-0.000464149089090732,0.000464149089090732
2021,"Fidelity Bank",3289479000,2991710000,297769000,35579000,-117000,2758148000,203566,206204,1658412,1326106,39440,35462000,-2638,332306,-334944,0.0128571780774636,3.62562125020122e-10,-0.00012143800840274,1.42994502107936e-05,12.2366212490189,-0.0127931562918275,0.909478370282954,0.0119897406245792,33,3.49650756146648,1.3608,21.913995030521,1,0,0,-0.101695369624802,60984569.1304334,-428.587652490142,-884.506478398907,-0.101695354673138,0.114552532750602,0.114552532750602,0.114552532750602,0.114552532750602
2022,"Fidelity Bank",3989009000,3674649000,314360000,46724000,297592000,3289479000,295578,203566,2116212,1658412,42657,-250868000,92012,457800,-365788,-0.076263748757782,3.03999508736794e-10,-0.000111199372301814,1.29677070441854e-05,12.2237455556073,0.452000825285165,0.921193459327868,0.0181605146929784,34,3.52636052461616,1.3608,22.1068086660717,2,0.693147180559945,0,-0.101695369624802,60984569.1304334,-428.587652490142,-884.506478398907,-0.101695357091341,0.0254316083335586,0.0254316083335586,0.0254316083335586,0.0254316083335586
2013,"GT BANK",1904365795,1574719114,329646681,85545510,306604430,1620317223,242665011,223064885,1007967114,783914842,68306197,-221058920,19600126,224052272,-204452146,-0.136429408304821,6.17163099796292e-10,-0.126180320185364,0.0421560642758162,19.2229732512281,0.0878673754499728,0.826899494905074,0.0324827322208408,23,3.13549421592915,3.5424,21.4665576996163,3,1.09861228866811,0,-0.0213015223482424,-173512182.309369,-0.0936521842748567,1.23432065499331,-0.00360291539093462,-0.132826492913886,0.132826492913886,-0.132826492913886,0.132826492913886
2014,"GT BANK",2126608312,1757077986,369530326,93431604,-91880008,1904365795,278520814,242665011,1281376727,1007967114,76236447,1551596,35855803,273409613,-237553810,0.000814757335000338,5.25109200462194e-10,-0.124741691235848,0.0400324597302484,19.3071924946674,0.147758438071651,0.826234890593242,0.032360119963265,24,3.17805383034795,3.5424,21.5801786930432,4,1.38629436111989,0,-0.0213015223482424,-173512182.309369,-0.0936521842748567,1.23432065499331,-0.0041384349838088,0.00495319231880913,0.00495319231880913,0.00495319231880913,0.00495319231880913
2015,"GT BANK",2277629224,1872020876,405608348,94308123,10429148,2126608312,301850111,278520814,1372977068,1281376727,87988778,83878975,23329297,91600341,-68271044,0.0394426065800123,4.70232338676197e-10,-0.0321032526839856,0.0413751688562007,19.4450033506252,0.0837614132493524,0.821916427956757,0.0348526488386334,25,3.2188758248682,3.5424,21.6493459794,5,1.6094379124341,1,-0.0213015223482424,-173512182.309369,-0.0936521842748567,1.23432065499331,-0.0185589989174714,0.0580016054974837,0.0580016054974837,0.0580016054974837,0.0580016054974837
2016,"GT BANK",2613340074,2136422221,476917853,126836792,268884139,2277629224,196152958,165241862,1590083552,1372977068,93488055,-142047347,30911096,217106484,-186195388,-0.0623663173545581,4.39053024725327e-10,-0.0817496482913059,0.0410462133234378,18.9229207888873,0.187065769084592,0.8175063943094,0.0299987972731706,26,3.25809653802148,3.5424,21.8599422211049,6,1.79175946922805,1,-0.0213015223482424,-173512182.309369,-0.0936521842748567,1.23432065499331,-0.012933725724297,-0.0494325916302612,0.0494325916302612,-0.0494325916302612,0.0494325916302612
